C;Any;Districte;Secció;PSC_23;% PSC;Censo;Votants;Participació_23;NUM_ELECTORS;VOTS_VALIDS;Participació_2024;PSC_24;% PSC;Dif. Vots;Dif. pp;Dif. Participació
Municipals;2023;1;1;46;7,35%;1052;626;59,51%;1079;750;69,51%;85;11,33%;39;3,99%;10,00%
Municipals;2023;1;2;68;9,84%;1146;691;60,30%;1159;783;67,56%;99;12,64%;31;2,80%;7,26%
Municipals;2023;1;4;96;10,04%;1575;956;60,70%;1597;1093;68,44%;179;16,38%;83;6,34%;7,74%
Municipals;2023;1;5;87;13,57%;1068;641;60,02%;1056;759;71,88%;133;17,52%;46;3,95%;11,86%
Municipals;2023;1;6;77;10,48%;1208;735;60,84%;1229;869;70,71%;117;13,46%;40;2,99%;9,86%
Municipals;2023;1;7;95;11,92%;1437;797;55,46%;1421;938;66,01%;159;16,95%;64;5,03%;10,55%
Municipals;2023;1;8;60;9,98%;980;601;61,33%;995;658;66,13%;96;14,59%;36;4,61%;4,80%
Municipals;2023;1;9;69;10,95%;1048;630;60,11%;1065;706;66,29%;102;14,45%;33;3,50%;6,18%
Municipals;2023;1;10;91;15,09%;1013;603;59,53%;1028;699;68,00%;141;20,17%;50;5,08%;8,47%
Municipals;2023;1;11;94;18,95%;953;496;52,05%;961;559;58,17%;165;29,52%;71;10,57%;6,12%
Municipals;2023;1;12;114;18,15%;1143;628;54,94%;1165;736;63,18%;217;29,48%;103;11,33%;8,23%
Municipals;2023;1;13;93;30,29%;632;307;48,58%;635;341;53,70%;143;41,94%;50;11,64%;5,12%
Municipals;2023;1;14;185;23,57%;1541;785;50,94%;1558;934;59,95%;330;35,33%;145;11,77%;9,01%
Municipals;2023;1;15;98;19,56%;950;501;52,74%;944;563;59,64%;162;28,77%;64;9,21%;6,90%
Municipals;2023;1;16;186;18,69%;1800;995;55,28%;1759;1273;72,37%;291;22,86%;105;4,17%;17,09%
Municipals;2023;1;17;112;11,83%;1666;947;56,84%;1662;1124;67,63%;217;19,31%;105;7,48%;10,79%
Municipals;2023;1;18;29;9,03%;492;321;65,24%;483;369;76,40%;42;11,38%;13;2,35%;11,15%
Municipals;2023;1;19;104;17,69%;1159;588;50,73%;1151;669;58,12%;203;30,34%;99;12,66%;7,39%
Municipals;2023;1;20;125;17,29%;1207;723;59,90%;1193;773;64,79%;177;22,90%;52;5,61%;4,89%
Municipals;2023;1;21;106;17,88%;1120;593;52,95%;1117;681;60,97%;176;25,84%;70;7,97%;8,02%
Municipals;2023;1;22;115;14,48%;1439;794;55,18%;1423;942;66,20%;211;22,40%;96;7,92%;11,02%
